label	group	x0	x1	y0	y1	z0	z1
Bed Slat_1	boards	20	118	-48	752	1163	1197
Bed Slat_10	boards	1409	1507	-48	752	1163	1197
Bed Slat_11	boards	1563.33	1661.33	-48	752	1163	1197
Bed Slat_12	boards	1717.67	1815.67	-48	752	1163	1197
Bed Slat_13	boards	1872	1970	-48	752	1163	1197
Bed Slat_2	boards	174.333	272.333	-48	752	1163	1197
Bed Slat_3	boards	328.667	426.667	-48	752	1163	1197
Bed Slat_4	boards	483	581	-48	752	1163	1197
Bed Slat_5	boards	637.333	735.333	-48	752	1163	1197
Bed Slat_6	boards	791.667	889.667	-48	752	1163	1197
Bed Slat_7	boards	946	1044	-48	752	1163	1197
Bed Slat_8	boards	1100.33	1198.33	-48	752	1163	1197
Bed Slat_9	boards	1254.67	1352.67	-48	752	1163	1197
Bench Rail Back (continuous)	rails	3	1987	-48	0	186	259
Bench Rail Bearing Block Back Left	boards	0	48	-48	-12	138	186
Bench Rail Bearing Block Back Right	boards	1942	1990	-48	-12	138	186
Bench Rail Bearing Block Front Left	boards	0	48	716	752	138	186
Bench Rail Bearing Block Front Right	boards	1942	1990	716	752	138	186
Bench Rail Front Left (segment)	rails	3	645	704	752	186	259
Bench Rail Front Right (segment)	rails	1345	1987	704	752	186	259
Bench Slat Left_1	boards	0	98	-48	752	259	293
Bench Slat Left_2	boards	137.5	235.5	-48	752	259	293
Bench Slat Left_3	boards	275	373	-48	752	259	293
Bench Slat Left_4	boards	412.5	510.5	-48	752	259	293
Bench Slat Left_5	boards	550	648	-48	752	259	293
Bench Slat Right_1	boards	1892	1990	-48	752	259	293
Bench Slat Right_2	boards	1754.5	1852.5	-48	752	259	293
Bench Slat Right_3	boards	1617	1715	-48	752	259	293
Bench Slat Right_4	boards	1479.5	1577.5	-48	752	259	293
Bench Slat Right_5	boards	1342	1440	-48	752	259	293
Bench Stub Leg Back Left	posts	597	645	-48	0	0	186
Bench Stub Leg Back Right	posts	1345	1393	-48	0	0	186
Bench Stub Leg Front Left	posts	597	645	704	752	0	186
Bench Stub Leg Front Right	posts	1345	1393	704	752	0	186
Corner Post Back Left	posts	0	48	-96	-48	0	1337
Corner Post Back Right	posts	1942	1990	-96	-48	0	1337
Corner Post Front Left	posts	0	48	752	800	0	1700
Corner Post Front Right	posts	1942	1990	752	800	0	1700
End Beam Bearing Block Left Back	boards	48	96	-96	-48	931	967
End Beam Bearing Block Left Front	boards	48	96	752	800	931	967
End Beam Bearing Block Right Back	boards	1894	1942	-96	-48	931	967
End Beam Bearing Block Right Front	boards	1894	1942	752	800	931	967
End Beam Left	rails	48	96	-96	800	967	1065
End Beam Right	rails	1894	1942	-96	800	967	1065
Guard Rail Front Left_1	boards	3	835	800	834	1412	1510
Guard Rail Front Left_2	boards	3	835	800	834	1585	1683
Guard Rail Front Right_1	boards	1155	1987	800	834	1412	1510
Guard Rail Front Right_2	boards	1155	1987	800	834	1585	1683
Ladder Rung_1	boards	835	1155	727	800	211	259
Ladder Rung_2	boards	835	1155	727	800	434	482
Ladder Rung_3	boards	835	1155	727	800	672	720
Ladder Rung_4	boards	835	1155	727	800	910	958
Ladder Upright Left	posts	799	835	752	800	0	1700
Ladder Upright Right	posts	1155	1191	752	800	0	1700
Mattress 200x80 (reference)	mattress	0	1990	-48	752	1197	1337
Movable Panel (bed mode)	panel	655	1335	-48	752	259	277
Movable Panel (table mode)	panel	655	1335	-48	752	482	500
Panel Stiffener Batten Left (bed mode)	panel	882	930	0	727	186	259
Panel Stiffener Batten Left (table mode)	panel	882	930	0	727	409	482
Panel Stiffener Batten Right (bed mode)	panel	1060	1108	0	727	186	259
Panel Stiffener Batten Right (table mode)	panel	1060	1108	0	727	409	482
Rung Block Left_1	boards	835	871	727	800	163	211
Rung Block Left_2	boards	835	871	727	800	386	434
Rung Block Left_3	boards	835	871	727	800	624	672
Rung Block Left_4	boards	835	871	727	800	862	910
Rung Block Right_1	boards	1119	1155	727	800	163	211
Rung Block Right_2	boards	1119	1155	727	800	386	434
Rung Block Right_3	boards	1119	1155	727	800	624	672
Rung Block Right_4	boards	1119	1155	727	800	862	910
Table Ledger Back	boards	3	1987	-48	-27	387	482
Upper Side Rail Back	rails	3	1987	-48	0	1065	1163
Upper Side Rail Front	rails	3	1987	704	752	1065	1163
